id,area,name,category,status,has_tests,user_story,expected_behavior,entry_points,code_refs,gaps,notes,verified,last_updated
F-001,"agents-glue","computer_use strategy (Playwright GUI drive) with safety gates","keepalive","partial","true","As an operator, I want AutoClaw to drive a stalled IDE's chat box as a last resort so that GUI-only agents can still be revived — but only when it's safe.","Gate 1: agent health.state must be 'stalled' else skip. Gate 2: human must be idle (idle probe) else skip. Then resolves a per-IDE script, screenshots before+after, runs declarative steps, audits each action; any step failure → screenshot + 'failed'. Skips cleanly when @playwright/test is absent.","computerUseStrategy(opts) | createPlaywrightDriver() | BrowserDriver interface","src/keepalive/computerUse.ts:182 | src/keepalive/computerUse.ts:210 | src/keepalive/computerUse.ts:83","createPlaywrightDriver is a lazy stub: even when @playwright/test IS installed, focusWindow/click/type/press just return `available` and screenshot() returns false — no real Electron/CDP session is opened (TODO(playwright-dep) at computerUse.ts:70-82). Real GUI automation is unbuilt; the operator-side integration is explicitly left as a stub.","The strategy logic + gates + audit are complete and tested; the actual driver backend is a no-op placeholder.",,2026-06-27
F-002,"agents-glue","Fleet watch loop (revive stalled agents on a tick)","keepalive","partial","true","As an operator, I want a watcher that periodically reads LMD health and runs the keep-alive chain on every stalled agent so that the whole fleet self-revives.","FleetWatcher.tick() reads the health grid, filters state==='stalled', and runs StrategyChain per agent, logging each chain result to keepalive log. CLI entrypoint supports --once / interval; toggle command + status-bar text are exported.","FleetWatcher.tick() | src/cli/fleet-watch.ts main(argv) [--once] | watchFleetCommand (exported)","src/cli/fleet-watch.ts:215 | src/cli/fleet-watch.ts:312 | src/cli/fleet-watch.ts:260","fleet-watch is a standalone CLI (require.main===module); watchFleetCommand / 'AutoClaw: Watch Fleet' is exported but NOT registered in package.json contributes.commands nor wired in extension.ts — no in-editor entry point. The chain it builds passes no runner seam, so 'runner' strategy always skips. | fleet-watch.test.ts not in CI test:unit list.","fleet-watch.ts lives in src/cli (outside the keepalive dir) but is the sole consumer of StrategyChain; included for completeness of the revive feature.",,2026-06-27
F-003,"agents-glue","Persona provider resolver (synthetic + real LlmRegistry routing)","personas","partial","true","As a persona, I want my provider ref resolved to either a deterministic test provider or a real local/mesh model so that the same dispatch code works in tests and production.","resolveProvider routes 'inline' and 'claude-code-runner' to synthetic providers, and 'ollama:'/'zippymesh:'/'lmstudio:' refs through a lazy LlmRegistry singleton (intent inferred from persona id). Without a workspaceRoot, real refs synthesize a failure to exercise the fallback chain. Unknown ref → internal error.","resolveProvider(ref, profile, workspaceRoot) | setInlineOverride / clearInlineOverride | _setRegistryForTests / _resetRegistryForTests","src/personas/provider-stub.ts:109 | src/personas/provider-stub.ts:155 | src/personas/provider-stub.ts:221","'claude-code-runner' provider is still a synthetic placeholder returning a canned string (deferred to v3.2+) — the real Claude Code shell-out in src/runners/claude-code.ts is not invoked from the persona path. File name is 'provider-stub' though it now also routes real refs.","Phase B S1 integrated real ollama/zippymesh/lmstudio refs; the cloud-runner fallback remains a stub.",,2026-06-27
F-004,"agents-glue","Persona slash-command (/persona <id> ""<prompt>"")","personas","partial","false","As a user, I want a /persona command in VS Code to invoke a persona against a prompt so that I can run a specialized role interactively.","registerPersonaCommand registers 'autoclaw.persona', parses '<id> <prompt>', dispatches via PersonaLoader, and shows the response (or error, with a '(using fallback provider)' prefix). No-ops when vscode/workspace unavailable.","registerPersonaCommand(context, loader?) | command id 'autoclaw.persona'","src/personas/command.ts:46 | src/personas/command.ts:65","registerPersonaCommand is never called from extension.ts (grep shows only its own export + spec comment), and 'autoclaw.persona' is absent from package.json contributes.commands — so the slash command is unreachable by end users. No test covers command.ts. | Persona skill (Skill tool) handles /persona doc-writer etc. separately; this VS Code command path is orphaned.","The loader/dispatch core is wired-testable, but the user-facing command is unregistered.",,2026-06-27
F-005,"agents-glue","Pre-push branch conflict detection","hooks","partial","true","As a parallel-agent operator, I want a warning when two agent branches touch the same files before a push so that I avoid the classic merge-race.","detectBranchConflicts diffs a branch and each peer against a resolved base ref (origin/main→main→master→empty-tree) with git diff --name-only and reports overlapping files + human warnings. Read-only; never writes/pushes. git runner injectable.","detectBranchConflicts(opts) | computeOverlaps | formatConflictWarnings","src/hooks/conflictDetection.ts:195 | src/hooks/conflictDetection.ts:112","Module is self-contained and tested but has no caller in production code (no orchestrator/extension/CLI invocation found) — the doc comment says 'the orchestrator / a git pre-push hook calls it' but no such wiring exists in this scope. conflictDetection.test.ts also not in CI test:unit list.","Pure computation is complete; the integration point is unbuilt.",,2026-06-27
F-006,"agents-glue","runner strategy (headless re-kick seam)","keepalive","partial","true","As an operator, I want a stalled agent re-kicked via its registered headless runner so that the cheapest, GUI-free wake is tried first.","runnerStrategy delegates to an injected RunnerRekick seam; findRunner===null → 'skipped', dispatchRekick success → 'success', throw → 'failed'. Default seam is a no-op returning 'no_runner'.","runnerStrategy(runner) | RunnerRekick interface","src/keepalive/strategyChain.ts:108 | src/keepalive/strategyChain.ts:57","StrategyChain default uses the no-op noRunner seam; no production wiring to the real src/runners RunnerRegistry is present in this scope — only fleet-watch CLI constructs the chain and it too passes no runner seam by default.","Real RunnerRegistry lives in src/runners; the seam is deliberately injected.",,2026-06-27
F-007,"agents-glue","cli strategy (configured shell wake command)","keepalive","complete","true","As an agent author, I want to set a shell command that wakes my agent so that AutoClaw can re-kick agents that respond to a CLI poke.","cliStrategy runs config.cliCommand via cmd/sh (30s default timeout, windowsHide); empty command → 'skipped'; exit 0 → 'success'; non-zero/throw → 'failed'. Output truncated to 200 chars.","cliStrategy(opts) | scope.json keepalive_cli_command","src/keepalive/strategyChain.ts:166 | src/keepalive/strategyChain.ts:149","","exec seam is injectable for tests.",,2026-06-27
F-008,"agents-glue","Computer-use audit log + screenshots","keepalive","complete","true","As an operator, I want every GUI action and a before/after screenshot recorded so that I can audit exactly what the automation did.","logComputerUseAction appends JSONL to .autoclaw/runtime/computer-use-log/actions.jsonl; screenshotPath builds <ts>-<agent>-<phase>.png paths. Best-effort, never throws.","logComputerUseAction(workspaceRoot, action) | screenshotPath(workspaceRoot, agentId, phase) | computerUseLogDir(workspaceRoot)","src/keepalive/computerUseLog.ts:44 | src/keepalive/computerUseLog.ts:65","Screenshots are never actually written because the stub driver's screenshot() returns false; the log records 'screenshot unavailable' rather than a real PNG until a real driver lands.","Covered via keepalive-computerUse.test.ts (not in CI list).",,2026-06-27
F-009,"agents-glue","Fleet HALT kill switch (file-based)","hooks","complete","true","As an operator, I want a single kill switch that pauses all auto-dispatch and trigger hooks so that I can stop the fleet instantly from any shell or the editor.","Presence of .autoclaw/orchestrator/HALT == halted. setFleetHalted writes who/when/why JSON on engage, unlinks on release. Wired to commands 'AutoClaw: Halt Fleet' / 'Resume Fleet'; also consumed by budget ceiling and the orchestrator loop.","autoclaw.fleet.halt | autoclaw.fleet.resume | setFleetHalted(root, halted, reason) | isFleetHalted(root)","src/hooks/fleetHalt.ts:31 | src/extension.ts:901 | package.json:462","","Both commands ARE in package.json + registered in extension.ts. budget/ceiling.ts auto-halts on budget breach.",,2026-06-27
F-010,"agents-glue","Hook executor + audit (dispatch / notify / launch_skill / spawn_runner / relay)","hooks","complete","true","As an operator, I want fired hooks to perform a real action and have every firing/suppression audited so that auto-wakes are traceable.","executeHook runs the rule's action via injected deps; every outcome appends to comms/hooks/audit.jsonl and mirrors to comms-log. Missing dep or empty required target → audited hook_error (never throws into watcher). 'dispatch' builds a low-priority WorkPackage and calls orchestratorLoop.dispatchWork (gated/journaled).","executeHook(decision, deps) | HookDeps (dispatch/notify/launchSkill/spawnRunner/relay)","src/hooks/triggerHooks.ts:418 | src/hooks/triggerHooks.ts:349 | src/hooks/triggerHooks.ts:390","","HKS-4/5 actions (launch_skill, spawn_runner, relay) marked done in BACKLOG and wired in extension.ts (launchSkill copies prompt to clipboard; spawn_runner validates against BUILTIN_RUNNER_IDS; relay rides CloudRelay, inert unless consented).",,2026-06-27
